Sentencia,Proceso,Expediente Tipo,Expediente NÃºmero,Magistrado(a) ponente,Sentencia Tipo,Fecha Sentencia,Año,SV-SPV,AV-APV
C-205-01,Demanda de inconstitucionalidad,D,3201,JosÃ© Gregorio HernÃ¡ndez Galindo,C,2/21/2001 0:00,2001,No,No
C-058-01,Demanda de inconstitucionalidad,D,3202,Alfredo BeltrÃ¡n Sierra,C,1/24/2001 0:00,2001,No,No
C-331-01,Demanda de inconstitucionalidad,D,3204,Jaime Araujo RenterÃ­a,C,3/30/2001 0:00,2001,No,No
C-100-01,Demanda de inconstitucionalidad,D,3205,Martha Victoria SÃ¡chica MÃ©ndez,C,1/31/2001 0:00,2001,No,No
C-430-01,Demanda de inconstitucionalidad,D,3206,Eduardo Montealegre Lynett,C,5/2/2001 0:00,2001,No,No
C-059-01,Demanda de inconstitucionalidad,D,3210,Martha Victoria SÃ¡chica MÃ©ndez,C,1/24/2001 0:00,2001,No,No
C-553-01,Demanda de inconstitucionalidad,D,3213,Jaime Araujo RenterÃ­a,C,5/31/2001 0:00,2001,No,No
C-442-01,Demanda de inconstitucionalidad,D,3216,Marco Gerardo Monroy Cabra,C,5/4/2001 0:00,2001,No,No
C-245-01,Demanda de inconstitucionalidad,D,3217,JosÃ© Gregorio HernÃ¡ndez Galindo,C,2/27/2001 0:00,2001,No,No
C-757-01,Demanda de inconstitucionalidad,D,3224,Alvaro Tafur Galvis,C,7/17/2001 0:00,2001,No,No
C-582-01,Demanda de inconstitucionalidad,D,3225,Jaime Araujo RenterÃ­a,C,6/6/2001 0:00,2001,No,No
C-246-01,Demanda de inconstitucionalidad,D,3228,JosÃ© Gregorio HernÃ¡ndez Galindo,C,2/27/2001 0:00,2001,No,No
C-506-01,Demanda de inconstitucionalidad,D,3229,Alvaro Tafur Galvis,C,5/16/2001 0:00,2001,No,No
C-554-01,Demanda de inconstitucionalidad,D,3231,Clara InÃ©s Vargas HernÃ¡ndez,C,5/30/2001 0:00,2001,No,No
C-431-01,Demanda de inconstitucionalidad,D,3234,Alfredo BeltrÃ¡n Sierra,C,5/2/2001 0:00,2001,No,No
C-504-01,Demanda de inconstitucionalidad,D,3235,Jaime Araujo RenterÃ­a,C,5/16/2001 0:00,2001,No,No
C-304-01,Demanda de inconstitucionalidad,D,3236,Eduardo Montealegre Lynett,C,3/22/2001 0:00,2001,No,No
C-646-01,Demanda de inconstitucionalidad,D,3238,Manuel JosÃ© Cepeda Espinosa,C,6/20/2001 0:00,2001,No,No
C-412-01,Demanda de inconstitucionalidad,D,3241,Jaime CÃ³rdoba TriviÃ±o,C,4/25/2001 0:00,2001,No,No
C-583-01,Demanda de inconstitucionalidad,D,3242,Clara InÃ©s Vargas HernÃ¡ndez,C,6/6/2001 0:00,2001,No,No
C-555-01,Demanda de inconstitucionalidad,D,3243,Marco Gerardo Monroy Cabra,C,5/31/2001 0:00,2001,No,No
C-507-01,Demanda de inconstitucionalidad,D,3244,Alvaro Tafur Galvis,C,5/16/2001 0:00,2001,No,No
C-477-01,Demanda de inconstitucionalidad,D,3252,Marco Gerardo Monroy Cabra,C,5/9/2001 0:00,2001,No,No
C-478-01,Demanda de inconstitucionalidad,D,3255,Alfredo BeltrÃ¡n Sierra,C,5/9/2001 0:00,2001,No,No
C-413-01,Demanda de inconstitucionalidad,D,3261,Marco Gerardo Monroy Cabra,C,4/25/2001 0:00,2001,No,No
